comment,nickname,rank,tilte
 tamatoys的尻jian和exe dx二代哪个好,2hang7ong_,22,飞机杯前十进
不打比赛就容易瞎B黑，万一像鳖那样被前列腺游泳,虚区爆表,20,比赛多真好啊，不会无聊
听不懂听不懂,1804925079,20,飞机杯前十进
@mervyn1976,洛弗卡雷,22,飞机杯前十进
,退役职业选手,22,明天等剧本已经想好了
虚区boom表,hercMoray,22,比赛多真好啊，不会无聊
 感觉进入了lol的联赛状态，只不过是跨洲了而已。没有以前那种感觉了,q62223235,21,现在比赛确实太多了
,最后三个月,22,这羊还行吧
不懂伐木,梅子酒11111,13,飞机杯前十进
不懂伐木,hercMoray,22,飞机杯前十进
吸脂咚咚咚,ydygogogo112,13,明天等剧本已经想好了
 Kiko是个好女孩,喧哗上等,23,明天等剧本已经想好了
赌狗已经赌不过来了一天几十场，多了上百场我是指dota2和csgo的总和 ,河道控符被淹死,25,现在比赛确实太多了
是的。无聊去火猫看看，准有比赛,壁虎大猫,21,现在比赛确实太多了
可操好吧！,SK-蛋哥,21,这羊还行吧
艹羊三个月,跳刀專殺鱉孫媽,14,这羊还行吧
没用过，不知道，只打过飞机和透过批,脚滑的徐志雷,21,飞机杯前十进
@MervYn1976,hercMoray,22,飞机杯前十进
Maybe不论打的如何心态一直很正常，输了也会像老手们虚心请教，从来不喊什么要做西恩doto第一人之类的口号对比CTY那么个动不动和队友全面决裂的脾气，Maybe好出太多,santosvalen,21,Maybe终究是能打出来的，CTY则不一定
 你们手机app看帖子能看到 帖子里面的图片吗？,DaXiguagua,21,傻狗们，咨询下
 这是输怕了吧,Abc_cn,22,呵呵，德张终究还是ban了娜迦
 阿畅给杰尼中出注水，杰尼获得能量滋补阿畅，阿畅继续喷射，循环往复，生生不息，可歌可泣,fubenb,23,阿畅和杰尼形成了一个永动机
 超远三分，侧身三分怎么扔怎么有这一波8连胜，5场35＋,a1637979607,21,最近利拉德吃药了吧，真tm猛
 吸脂咚咚咚,eurus,14,明天等剧本已经想好了
现在就希望nb赶紧滚蛋,Pis喜当爹,20,明天等剧本已经想好了
lol自己区办联赛难道不是给中国队搞个冠军来的,batgrzl,25,现在比赛确实太多了
艹羊三个月,dogfe416,20,这羊还行吧
草羊三个月,hercMoray,22,这羊还行吧
脚滑的徐志雷 发表于 2018-3-7 11:18没用过，不知道，只打过飞机和透过批杰尼杰尼，我也想透批,2hang7ong_,22,飞机杯前十进
1:1屁股倒模完爆所有飞机杯,MySaber,23,飞机杯前十进
只要放下“面子”这个概念，都能打粗来。,十年樱,22,Maybe终究是能打出来的，CTY则不一定
muted,joeyujia,4,Maybe终究是能打出来的，CTY则不一定
梅子酒11111 发表于 2018-3-7 15:55妮登录就能看见不登录看不见窝登入了 窝也看不见啊,DaXiguagua,21,傻狗们，咨询下
看不到，后来直接删了 JB也不要了,HMNNM,22,傻狗们，咨询下
又不是龟头，不能那么铁的呀,Diekiller,22,呵呵，德张终究还是ban了娜迦
